Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
prologue_487343b8	narrator	Ожидаемого рывка или звука раскрытия куполов не последовало. Лишь несмолкающий рев и тряска.	game/game-scripts/chapters/chapter_0_prologue.rpy	59	narrator "[what]"
prologue_c53f48c7	fcs	ОШИБКА СБРОСА. Раскрыто парашютов: 3 из 4. \n ПРЕДУПРЕЖДЕНИЕ: Нестабильное вращение в трёх плоскостях. \n Перегрузка 13G... \n	game/game-scripts/chapters/chapter_0_prologue.rpy	63	fcs "[what]"
prologue_958f3f1b	narrator	Дыхание пилота становится чаще, переходит в хрип.	game/game-scripts/chapters/chapter_0_prologue.rpy	69	narrator "[what]"
prologue_06e4b4b5	narrator	Челнок замедляется, но неравномерно, его бросает из стороны в сторону с нарастающей силой.	game/game-scripts/chapters/chapter_0_prologue.rpy	69	narrator "[what]"
prologue_3fda1895	narrator	Мир за иллюминатором превратился в смазанную карусель огня и тьмы.	game/game-scripts/chapters/chapter_0_prologue.rpy	69	narrator "[what]"
prologue_55778524	narrator	И тут сквозь хаос прорывается новый звук.	game/game-scripts/chapters/chapter_0_prologue.rpy	69	narrator "[what]"
prologue_2e57de88	narrator	Холодный, механический, повторяющийся голос системы.	game/game-scripts/chapters/chapter_0_prologue.rpy	69	narrator "[what]"
prologue_7803f900	narrator	Он бьет по нервам, не оставляя надежды.	game/game-scripts/chapters/chapter_0_prologue.rpy	69	narrator "[what]"
prologue_4f0c4092	fcs	СТОЛКНОВЕНИЕ НЕИЗБЕЖНО. \nСТОЛКНОВЕНИЕ НЕИЗБЕЖНО.	game/game-scripts/chapters/chapter_0_prologue.rpy	86	fcs "[what]"
prologue_2b341959	fcs	СТОЛКНОВЕНИЕ НЕИ-{nw}	game/game-scripts/chapters/chapter_0_prologue.rpy	87	fcs "[what]"
prologue_8c4181a7	narrator_nvl	Мир исчез. Заменился давлением, выжимающим воздух из легких. Ощущением, будто тело впечатало в кресло с силой пресса. {nw}	game/game-scripts/chapters/chapter_0_prologue.rpy	96	narrator_nvl "[what]"
prologue_bab5ed7e	narrator_nvl	В ушах - непрекращающийся, высокий звон. Он поглотил все остальные звуки, даже собственный крик. {nw}	game/game-scripts/chapters/chapter_0_prologue.rpy	97	narrator_nvl "[what]"
prologue_0d281344	narrator_nvl	Потом пришла тьма. Не просто отсутствие света, а ватная, глухая пустота. Ничего. {nw}	game/game-scripts/chapters/chapter_0_prologue.rpy	98	narrator_nvl "[what]"
prologue_2f885a8e	narrator_nvl	Тело - чужое. Ноги не ощущаются, руки мелко дрожат сами по себе. {nw}	game/game-scripts/chapters/chapter_0_prologue.rpy	99	narrator_nvl "[what]"
prologue_5ba2be7b	narrator_nvl	Но запахи... Запахи пробиваются сквозь шок. Резкий, металлический запах крови. Едкий запах гари и плавящейся изоляции.	game/game-scripts/chapters/chapter_0_prologue.rpy	100	narrator_nvl "[what]"
prologue_0b66640a	narrator	На записи слышен тихий стон, полный боли.	game/game-scripts/chapters/chapter_0_prologue.rpy	103	narrator "[what]"
prologue_2b7b3371	unknown_f	{=whisper}Н-ннгх... Больно...{/whisper}	game/game-scripts/chapters/chapter_0_prologue.rpy	106	unknown_f "[what]"
prologue_b0928c99	narrator	Звуки борьбы, слабого движения.	game/game-scripts/chapters/chapter_0_prologue.rpy	108	narrator "[what]"
prologue_ef298c5d	narrator	Похоже, пострадавший пытается что-то сделать.	game/game-scripts/chapters/chapter_0_prologue.rpy	108	narrator "[what]"
prologue_092ffc69	narrator	Боль пульсирует где-то глубоко в черепе, отзываясь на каждое движение.	game/game-scripts/chapters/chapter_0_prologue.rpy	108	narrator "[what]"
prologue_998d396a	narrator	Она пытается с усилием что-то сказать...	game/game-scripts/chapters/chapter_0_prologue.rpy	108	narrator "[what]"
prologue_78a83cc3	unknown_f	Выбраться... надо... выбраться...	game/game-scripts/chapters/chapter_0_prologue.rpy	119	unknown_f "[what]"
prologue_2a9a87be	narrator	Слышен скрежет металла о металл – попытка открыть люк. Звук слабого щелчка – замок поддался.	game/game-scripts/chapters/chapter_0_prologue.rpy	121	narrator "[what]"
prologue_44858b5e	unknown_f	{=yell}А-ах!{/yell}	game/game-scripts/chapters/chapter_0_prologue.rpy	124	unknown_f "[what]"
prologue_014ea6d4	narrator	Резкий, болезненный выдох. Звук падения чего-то мягкого обратно в кресло.	game/game-scripts/chapters/chapter_0_prologue.rpy	126	narrator "[what]"
prologue_d2a2e6e4	narrator	На записи воцаряется тишина, с треском помех и далеким потрескиванием огня.	game/game-scripts/chapters/chapter_0_prologue.rpy	126	narrator "[what]"
prologue_39a935c5	narrator_nvl	Несколько месяцев до инцидента...	game/game-scripts/chapters/chapter_0_prologue.rpy	135	narrator_nvl "[what]"
chapter1_lab_night_0d66f65b	narrator	Лаборатория спала тревожным сном под аккомпанемент мерного гула систем жизнеобеспечения и настойчивого, почти гипнотического стука аналоговых самописцев.	game/game-scripts/chapters/chapter_1.rpy	10	narrator "[what]"
chapter1_lab_night_919e3121	narrator	Холодный блеск кафельных стен отражал безжалостный белый свет люминесцентных ламп, создавая ощущение стерильности, граничащей с безжизненностью.	game/game-scripts/chapters/chapter_1.rpy	10	narrator "[what]"
chapter1_lab_night_2e39baf4	narrator	В конце комнаты огромное панорамное окно зияло темным экраном, изредка оживляемым отражениями индикаторов на приборах.	game/game-scripts/chapters/chapter_1.rpy	10	narrator "[what]"
chapter1_lab_night_42abfce9	narrator	Снаружи, под тусклым лунным светом, угадывались силуэты гигантских антенн, скелетами устремленных в безмолвие космоса.	game/game-scripts/chapters/chapter_1.rpy	10	narrator "[what]"
chapter1_lab_night_95ca9eae	narrator	За ними темнели зубчатые хребты гор, перекрывающие горизонт.	game/game-scripts/chapters/chapter_1.rpy	10	narrator "[what]"
chapter1_lab_night_1531a2a6	narrator	Красные сигнальные огни на далеких вышках монотонно пронзали ночную тьму.	game/game-scripts/chapters/chapter_1.rpy	10	narrator "[what]"
chapter1_lab_night_7d7f7a46	narrator	В центре этого высокотехнологичного святилища, за большим офисным столом, в глубоком кресле почти терялась маленькая женская фигурка.	game/game-scripts/chapters/chapter_1.rpy	10	narrator "[what]"
chapter1_lab_night_ef037af2	narrator	Волосы цвета глубокого ночного неба, густые, чуть растрепанные от долгой работы, падали на плечи лабораторного халата.	game/game-scripts/chapters/chapter_1.rpy	10	narrator "[what]"
chapter1_lab_night_731abfd2	narrator	Халат, некогда белоснежный, носил следы бессонных ночей и, кажется, случайных капель кофе. Под ним виднелся воротник черной водолазки.	game/game-scripts/chapters/chapter_1.rpy	10	narrator "[what]"
chapter1_lab_night_c7adc8d0	narrator	Ее пальцы стремительно порхали над клавиатурой, но мысли ее были далеко – там, где на соседнем мониторе медленно ползла к завершению шкала прогресса.	game/game-scripts/chapters/chapter_1.rpy	10	narrator "[what]"
chapter1_lab_night_8f3c9fb8	narrator	Она с лихорадочным нетерпением поглядывала на прибор, ожидая кульминации многолетних усилий – расшифровки сложнейшего сигнала из глубин космоса.	game/game-scripts/chapters/chapter_1.rpy	10	narrator "[what]"
chapter1_lab_night_743b6736	narrator	Тихо, себе под нос она начала говорить:	game/game-scripts/chapters/chapter_1.rpy	10	narrator "[what]"
chapter1_lab_night_e4f5e00b	unknown_f	{=whisper}Скоро... вот-вот... еще чуть-чуть...{/whisper}	game/game-scripts/chapters/chapter_1.rpy	36	unknown_f "[what]"
chapter1_lab_night_171ee41f	narrator	С досадой, она стучит по одной из клавиши на своей клавиатуре.	game/game-scripts/chapters/chapter_1.rpy	38	narrator "[what]"
chapter1_lab_night_73a42ea7	unknown_f	Потерпи, моя хорошая...	game/game-scripts/chapters/chapter_1.rpy	40	unknown_f "[what]"
chapter1_lab_night_46d2f53f	narrator	Она говорила с машиной, как с живым существом. Ставки были высоки – возможно, вся ее карьера, ее мечта.	game/game-scripts/chapters/chapter_1.rpy	42	narrator "[what]"
chapter1_lab_night_008d673e	unknown_f	{=yell}Агрх!{/yell}	game/game-scripts/chapters/chapter_1.rpy	44	unknown_f "[what]"
chapter1_lab_night_e9be8a65	unknown_f	Эти дурацкие отчеты... Кому они сдались?	game/game-scripts/chapters/chapter_1.rpy	45	unknown_f "[what]"
chapter1_lab_night_593b3999	unknown_f	Бумажная рутина, когда на кону целая Вселенная!	game/game-scripts/chapters/chapter_1.rpy	46	unknown_f "[what]"
chapter1_lab_night_9b508410	narrator	Она раздраженно взлохматила свои синие волосы, жаждая прорыва, а не заполнения формуляров.	game/game-scripts/chapters/chapter_1.rpy	48	narrator "[what]"
chapter1_lab_night_0daf9056	narrator	Внезапно тишину нарушил отчетливый стук в дверь.	game/game-scripts/chapters/chapter_1.rpy	48	narrator "[what]"
chapter1_lab_night_76e90dc4	narrator	Не оборачиваясь, она сказала:	game/game-scripts/chapters/chapter_1.rpy	48	narrator "[what]"
chapter1_lab_night_2f537b1a	unknown_f	Входи.	game/game-scripts/chapters/chapter_1.rpy	56	unknown_f "[what]"
chapter1_lab_night_0ac39d7d	narrator	Тон был ровный, почти безразличный. Она явно ждала этого визита, хоть и не желала его. 	game/game-scripts/chapters/chapter_1.rpy	58	narrator "[what]"
chapter1_lab_night_0e921c29	extend	В ночную смену здесь мог быть только один человек...	game/game-scripts/chapters/chapter_1.rpy	59	extend "[what]"
chapter1_lab_night_f4b411e9	unknown	Доктор Неон? 	game/game-scripts/chapters/chapter_1.rpy	65	unknown "[what]"
chapter1_lab_night_672ba4d2	extend	Простите, что беспокою так поздно...	game/game-scripts/chapters/chapter_1.rpy	66	extend "[what]"
chapter1_lab_night_66fa8e77	narrator	В дверях стоял Маркус, ее ассистент.	game/game-scripts/chapters/chapter_1.rpy	68	narrator "[what]"
chapter1_lab_night_353c8f85	narrator	Молодой человек, аккуратный до педантизма: идеально выглаженная рубашка, туго затянутый галстук под безупречно чистым лабораторным халатом – полная противоположность ее творческому беспорядку.	game/game-scripts/chapters/chapter_1.rpy	68	narrator "[what]"
chapter1_lab_night_e101e35a	narrator	Выше Неон на голову, он смотрел на нее с выражением почти собачьей преданности... или чего-то еще?	game/game-scripts/chapters/chapter_1.rpy	68	narrator "[what]"
chapter1_lab_night_da8e2d2b	narrator	Неон наконец поворачивается, но без энтузиазма	game/game-scripts/chapters/chapter_1.rpy	68	narrator "[what]"
chapter1_lab_night_341412c3	neon	Ах... Марк. Я же сказала тебе идти отдыхать. Ночная смена не для ассистентов.	game/game-scripts/chapters/chapter_1.rpy	78	neon "[what]"
chapter1_lab_night_7010a8ee	marcus	Я знаю, доктор, но... вы здесь уже которую ночь подряд. Совсем без сна.	game/game-scripts/chapters/chapter_1.rpy	80	marcus "[what]"
chapter1_lab_night_4c95d3a0	marcus	Я просто беспокоюсь. Может, вам стоит прерваться, хоть ненадолг- {nw}	game/game-scripts/chapters/chapter_1.rpy	81	marcus "[what]"
chapter1_lab_night_9e031a6d	narrator	Неон резко поворачивается в кресле, глядя на Маркуса. Взгляд был холодным.	game/game-scripts/chapters/chapter_1.rpy	83	narrator "[what]"
chapter1_lab_night_afcbbdf6	narrator	Маркус был перебит резким, но контролируемым тоном Неон	game/game-scripts/chapters/chapter_1.rpy	84	narrator "[what]"
chapter1_lab_night_194ee545	neon	Марк, я ценю твою заботу, правда. Но я прекрасно знаю свои пределы.	game/game-scripts/chapters/chapter_1.rpy	86	neon "[what]"
chapter1_lab_night_531425dd	neon	Этот проект... он требует моего полного присутствия. Сейчас решающий момент.	game/game-scripts/chapters/chapter_1.rpy	87	neon "[what]"
chapter1_lab_night_cef6f074	neon	И я справлюсь. Сама. Твоя помощь сейчас не нужна.	game/game-scripts/chapters/chapter_1.rpy	88	neon "[what]"
chapter1_lab_night_375353f4	neon	Я не говорю, что ты бесполезен, вовсе нет. Мне просто хочется это сделать самой. Хорошо?	game/game-scripts/chapters/chapter_1.rpy	89	neon "[what]"
chapter1_lab_night_73233418	narrator	Опустив взгляд, Маркус слегка сникает, но быстро находит новый предлог.	game/game-scripts/chapters/chapter_1.rpy	91	narrator "[what]"
chapter1_lab_night_3e2094d2	marcus	Да, доктор... Конечно, я понимаю. Просто... 	game/game-scripts/chapters/chapter_1.rpy	93	marcus "[what]"
chapter1_lab_night_8a716646	marcus	Я подумал, может, хотите газировки? Передохнуть буквально на пять минут? Я как раз захватил пару банок по дороге.	game/game-scripts/chapters/chapter_1.rpy	94	marcus "[what]"
chapter1_lab_night_bbf0dc97	narrator	Он нервно достает две алюминиевые банки.	game/game-scripts/chapters/chapter_1.rpy	96	narrator "[what]"
chapter1_lab_night_bdc62865	narrator	Неон на мгновение замерла. Усталость действительно накатывала, а холодная газировка казалась соблазнительной.	game/game-scripts/chapters/chapter_1.rpy	96	narrator "[what]"
chapter1_lab_night_220d2b1c	narrator	С легкой насмешкой, Неон ответила:	game/game-scripts/chapters/chapter_1.rpy	96	narrator "[what]"
chapter1_lab_night_f15433ef	neon	Газировки? Хм. Что ж, твоя настойчивость иногда обезоруживает, Марк. Давай.	game/game-scripts/chapters/chapter_1.rpy	104	neon proud "[what]"
chapter1_lab_night_f416e238	narrator	Маркус быстро открыл одну банку. Характерный пшик нарушил тишину лаборатории.	game/game-scripts/chapters/chapter_1.rpy	108	narrator "[what]"
chapter1_lab_night_75acc281	narrator	Свою он оставил себе, а вторую, уже открытую, с легким поклоном протянул Неон.	game/game-scripts/chapters/chapter_1.rpy	108	narrator "[what]"
chapter1_lab_night_cce8f7f3	narrator	Неон залпом делает три больших глотка, после чего она говорит:	game/game-scripts/chapters/chapter_1.rpy	108	narrator "[what]"
chapter1_lab_night_18eedfae	neon	Я поражаюсь твоему упорству, Марк.	game/game-scripts/chapters/chapter_1.rpy	116	neon "[what]"
chapter1_lab_night_8f1b5c1c	narrator	Неон откинулась в кресле, на мгновение расслабившись.	game/game-scripts/chapters/chapter_1.rpy	118	narrator "[what]"
chapter1_lab_night_47d0627f	neon	Иногда мне кажется, из тебя выйдет отличный руководитель. Умеешь настоять на своем.	game/game-scripts/chapters/chapter_1.rpy	120	neon "[what]"
chapter1_lab_night_beca078b	marcus	Ха-ха! Что вы, доктор! Не льстите! Куда мне... Я всего лишь ассистент...	game/game-scripts/chapters/chapter_1.rpy	122	marcus "[what]"
chapter1_lab_night_0a165ce4	narrator	Маркус нервно отвел взгляд, опираясь спиной о ближайший стеллаж с оборудованием.	game/game-scripts/chapters/chapter_1.rpy	127	narrator "[what]"
chapter1_lab_night_887c8ce4	marcus	Ну так... как там сигнал, доктор Неон?" Есть прогресс? Или возникли сложности?	game/game-scripts/chapters/chapter_1.rpy	129	marcus "[what]"
chapter1_lab_night_8a8f6588	narrator	Вспомнив о сигнале. Неон удивленно посмотрела на монитор прогресса на своем рабочем столе	game/game-scripts/chapters/chapter_1.rpy	134	narrator "[what]"
chapter1_lab_night_0ee81d85	neon	Нет, всё с ним в порядке... Почти у цели. Просто оборудование, конечно, допотопное, тормозит процесс расшифровки.	game/game-scripts/chapters/chapter_1.rpy	136	neon surprised "[what]"
chapter1_lab_night_512a047d	marcus	А давно калибровку проводили? Может, с этим связано? Или сервера пора обновлять? Стоит подать заявку?	game/game-scripts/chapters/chapter_1.rpy	141	marcus lab_neutral "[what]"
chapter1_lab_night_6e4a5efa	narrator	Неон отмахнулась рукой	game/game-scripts/chapters/chapter_1.rpy	146	narrator "[what]"
chapter1_lab_night_c7e0ac07	neon	Да... калибровка... Кто ее ещё помнит?	game/game-scripts/chapters/chapter_1.rpy	148	neon "[what]"
chapter1_lab_night_6065b2df	neon	Вообще, у меня к этому начальству столько претензий накопилось...	game/game-scripts/chapters/chapter_1.rpy	149	neon "[what]"
chapter1_lab_night_09214eaa	narrator	С живым интересом, Маркус наклоняется чуть ближе к рабочему столу Неон.	game/game-scripts/chapters/chapter_1.rpy	151	narrator "[what]"
chapter1_lab_night_650d03d6	marcus	О? Правда? А не расскажете поподробнее?	game/game-scripts/chapters/chapter_1.rpy	153	marcus "[what]"
chapter1_lab_night_78bee124	narrator	Неон внезапно насторожившись, её глаза сузились.	game/game-scripts/chapters/chapter_1.rpy	155	narrator "[what]"
chapter1_lab_night_ee0689a5	neon	Тоже мне нашелся, лазутчик.	game/game-scripts/chapters/chapter_1.rpy	157	neon neutral "[what]"
chapter1_lab_night_10bf928e	narrator	Сказала она с усмешкой, но уже более резкой, ставящей Маркуса на место.	game/game-scripts/chapters/chapter_1.rpy	159	narrator "[what]"
chapter1_lab_night_c25b17a1	neon	Ладно, Марк, тебе действительно пора. Спасибо за газировку.	game/game-scripts/chapters/chapter_1.rpy	161	neon "[what]"
chapter1_lab_night_31342806	narrator	Она кидает почти пустую банку на стол, небрежно промахиваясь мимо корзины неподалеку.	game/game-scripts/chapters/chapter_1.rpy	163	narrator "[what]"
chapter1_lab_night_be485e14	marcus	Ах, да. Конечно, доктор. Простите, что отвлек.	game/game-scripts/chapters/chapter_1.rpy	165	marcus "[what]"
chapter1_lab_night_24f69053	marcus	Рад был помочь.	game/game-scripts/chapters/chapter_1.rpy	167	marcus @ lab_smug "[what]"
chapter1_lab_night_5910fb2b	marcus	Спокойной... {nw}	game/game-scripts/chapters/chapter_1.rpy	168	marcus "[what]"
chapter1_lab_night_8e966692	marcus	То есть, продуктивной ночи.	game/game-scripts/chapters/chapter_1.rpy	169	marcus lab_smug "[what]"
chapter1_lab_night_b8125eed	narrator	Маркус быстро развернулся и вышел из офиса, тихо притворив за собой дверь.	game/game-scripts/chapters/chapter_1.rpy	171	narrator "[what]"
chapter1_lab_night_0e3b8d95	neon	{=whisper}Пока...{/whisper}	game/game-scripts/chapters/chapter_1.rpy	175	neon "[what]"
chapter1_lab_night_92498e38	narrator	Неон проводила его взглядом, затем дождалась, пока стихнут его шаги в коридоре. Убедившись, что осталась одна, она вновь с триумфом повернулась к главному монитору.	game/game-scripts/chapters/chapter_1.rpy	176	narrator "[what]"
chapter1_lab_night_23dd79dd	narrator	Шкала дешифровки почти достигла ста процентов. Еще немного. Всего несколько минут до возможного величайшего открытия в истории человечества.	game/game-scripts/chapters/chapter_1.rpy	176	narrator "[what]"
chapter1_lab_night_98f4de2b	narrator	Доказательство. Смысл всей ее жизни, всех бессонных ночей и споров с начальством. Нобелевская премия – это минимум! Она чувствовала это каждой клеткой – триумф близок.	game/game-scripts/chapters/chapter_1.rpy	176	narrator "[what]"
chapter1_lab_night_335aae8b	narrator	Именно сейчас ей нельзя было спать. Пропустить этот момент, не зафиксировать результат немедленно – немыслимо.	game/game-scripts/chapters/chapter_1.rpy	176	narrator "[what]"
chapter1_lab_night_f220d64e	narrator	Отчет подождет, открытие – нет.	game/game-scripts/chapters/chapter_1.rpy	176	narrator "[what]"
chapter1_lab_night_8a0f07c9	narrator	Неон глубоко зевнула, потягиваясь на кресле.	game/game-scripts/chapters/chapter_1.rpy	176	narrator "[what]"
chapter1_lab_night_1bbe01a4	neon	Ааах!	game/game-scripts/chapters/chapter_1.rpy	191	neon surprised "[what]"
chapter1_lab_night_0ed63acf	narrator	Сладость и усталость смешались в ее теле.	game/game-scripts/chapters/chapter_1.rpy	192	narrator "[what]"
chapter1_lab_night_126a5458	neon	Ладно, еще минут десять дешифровок. Пойду пока допишу этот... дурацкий отчет...	game/game-scripts/chapters/chapter_1.rpy	193	neon neutral "[what]"
chapter1_lab_night_fdb9e77f	narrator	Но пальцы вдруг стали непослушными, вязкими, словно чужими. Они соскальзывали с клавиш, попадая не туда.	game/game-scripts/chapters/chapter_1.rpy	194	narrator "[what]"
chapter1_lab_night_de9b5671	narrator	Буквы на экране начали расплываться, двоиться. Голова стала тяжелой, как будто налитой свинцом.	game/game-scripts/chapters/chapter_1.rpy	194	narrator "[what]"
chapter1_lab_night_fbf45896	narrator	Комната медленно, неумолимо поплыла перед глазами...	game/game-scripts/chapters/chapter_1.rpy	194	narrator "[what]"
chapter1_lab_night_35769b13	neon	Ч-что за... я же только что... {nw}	game/game-scripts/chapters/chapter_1.rpy	201	neon "[what]"
chapter1_lab_night_9221a0c5	narrator	Мысль оборвалась. Последнее, что она ощутила – это холодная, гладкая поверхность клавиатуры, прильнувшая к щеке, и всепоглощающий, убаюкивающий гул машин, затягивающий ее в вязкую темноту.	game/game-scripts/chapters/chapter_1.rpy	203	narrator "[what]"
chapter1_lab_morning_e1437d38	narrator	Оглушительная трель будильника ворвалась в тишину, выдернув Неон из вязкой темноты сна. Она вскинула голову с резким, сдавленным вскриком.	game/game-scripts/chapters/chapter_1.rpy	213	narrator "[what]"
chapter1_lab_morning_a24a341b	neon	Агрх!?	game/game-scripts/chapters/chapter_1.rpy	220	neon "[what]"
chapter1_lab_morning_7d08553c	narrator	Голова гудела. Щека неприятно липла к клавишам. Клавиатура... была мокрой. От слюны.	game/game-scripts/chapters/chapter_1.rpy	223	narrator "[what]"
chapter1_lab_morning_307339d4	narrator	Неон поморщилась от отвращения и стыда. Первым делом ее взгляд метнулся к монитору компьютера.	game/game-scripts/chapters/chapter_1.rpy	223	narrator "[what]"
chapter1_lab_morning_9665cfb1	narrator	Экран пестрел бессмысленной мешаниной символов – результат ее ночного 'творчества' лицом в клавиатуру.	game/game-scripts/chapters/chapter_1.rpy	223	narrator "[what]"
chapter1_lab_morning_d13fc313	neon	Черт... кажется, я ее добила...	game/game-scripts/chapters/chapter_1.rpy	231	neon "[what]"
chapter1_lab_morning_7418f797	narrator	Вздохнув, Неон попыталась отодвинуть клавиатуру, но пальцы наткнулись на липкие клавиши. Мелкая неприятность. Но тут же ее мозг пронзила другая, куда более важная мысль.	game/game-scripts/chapters/chapter_1.rpy	233	narrator "[what]"
chapter1_lab_morning_955b2f9d	neon	Сигнал!	game/game-scripts/chapters/chapter_1.rpy	235	neon "[what]"
chapter1_lab_morning_21c587a8	narrator	Она судорожно задвигала мышкой, игнорируя испорченный документ.	game/game-scripts/chapters/chapter_1.rpy	237	narrator "[what]"
chapter1_lab_morning_22570397	narrator	На экране дешифратора горело окно: \n 'ПРОЦЕСС ЗАВЕРШЕН УСПЕШНО'	game/game-scripts/chapters/chapter_1.rpy	237	narrator "[what]"
chapter1_lab_morning_84913247	neon	Да! Да! ДА!!!	game/game-scripts/chapters/chapter_1.rpy	244	neon proud "[what]"
chapter1_lab_morning_c5b0c6fd	narrator	Вопль восторга вырвался из ее груди. Неон подскочила с кресла, едва не опрокинув его. Забыв про клавиатуру, про весь мир, она закружилась на месте как ребенок.	game/game-scripts/chapters/chapter_1.rpy	246	narrator "[what]"
chapter1_lab_morning_b19563cf	neon	Получилось! Я сделала это! Я знала! МОЛОДЕЦ, НЕОН!	game/game-scripts/chapters/chapter_1.rpy	248	neon "[what]"
chapter1_lab_morning_39e7e740	narrator	Чистая, незамутненная радость переполняла ее. Это был триумф. Ее триумф.	game/game-scripts/chapters/chapter_1.rpy	250	narrator "[what]"
chapter1_lab_morning_0366c7ef	neon	Так, спокойно. Нужно сохранить. На носитель...	game/game-scripts/chapters/chapter_1.rpy	252	neon "[what]"
chapter1_lab_morning_4e8f21cc	narrator	Ее рука автоматически потянулась к ящику стола и извлекла личную USB-флешку – нарушение всех мыслимых правил безопасности компании.	game/game-scripts/chapters/chapter_1.rpy	254	narrator "[what]"
chapter1_lab_morning_1ee567d2	narrator	Строжайший запрет на использование личных накопителей? Как иначе работать в ее режиме?	game/game-scripts/chapters/chapter_1.rpy	254	narrator "[what]"
chapter1_lab_morning_8db0d5f7	narrator	Сдавать служебную флешку каждый вечер и выпрашивать ее для ночных бдений? Абсурд.	game/game-scripts/chapters/chapter_1.rpy	254	narrator "[what]"
chapter1_lab_morning_bba7b4af	narrator	Сейчас это казалось особенно неважным. Пусть только попробуют придраться!	game/game-scripts/chapters/chapter_1.rpy	254	narrator "[what]"
chapter1_lab_morning_1f607aa3	narrator	Когда она представит ЭТО, все их дурацкие правила и инструкции полетят к чертям.	game/game-scripts/chapters/chapter_1.rpy	254	narrator "[what]"
chapter1_lab_morning_49b24a63	narrator	Нобелевская премия! Мировое признание! Она видела это как явь...	game/game-scripts/chapters/chapter_1.rpy	254	narrator "[what]"
chapter1_lab_morning_64d78fad	narrator	И тут мелькнула легкая тень сомнения.	game/game-scripts/chapters/chapter_1.rpy	254	narrator "[what]"
chapter1_lab_morning_c6046d6b	narrator	Окно 'Процесс завершен'... Обычно, оно требовало подтверждения и его закрытия.	game/game-scripts/chapters/chapter_1.rpy	254	narrator "[what]"
chapter1_lab_morning_427e629c	narrator	Неон от такой мысли нахмурилась.	game/game-scripts/chapters/chapter_1.rpy	254	narrator "[what]"
chapter1_lab_morning_248a35f4	neon	Стоп. А я... нажала 'ОК'? Во сне, что ли?	game/game-scripts/chapters/chapter_1.rpy	274	neon neutral "[what]"
chapter1_lab_morning_d7168405	narrator	Она потерла висок. Кажется, нет... Или...	game/game-scripts/chapters/chapter_1.rpy	276	narrator "[what]"
chapter1_lab_morning_6960b364	narrator	Мысль не успела оформиться. Тишину лаборатории разорвал оглушительный грохот – как будто кто-то с ноги вышиб дверь.	game/game-scripts/chapters/chapter_1.rpy	276	narrator "[what]"
